crsp_fundno,caldt,dnav,dret
012690,20090806,12.0300000,-0.004139
012690,20090807,12.1900000,0.013300
012690,20090810,12.1400000,-0.004102
012690,20090811,12.0500000,-0.007414
012690,20090812,12.1700000,0.009959
012690,20090813,12.1900000,0.001643
012690,20090814,12.1000000,-0.007383
012690,20090817,11.8900000,-0.017355
012690,20090818,11.9600000,0.005887
012690,20090819,12.0500000,0.007525
012690,20090820,12.1300000,0.006639
012690,20090821,12.3500000,0.018137
012690,20090824,12.3400000,-0.000810
012690,20090825,12.3900000,0.004052
012690,20090826,12.3800000,-0.000807
012690,20090827,12.4300000,0.004039
012690,20090828,12.3900000,-0.003218
012690,20090831,12.3000000,-0.007264
012690,20090901,12.1100000,-0.015447
012690,20090902,12.0700000,-0.003303
012690,20090903,12.1100000,0.003314
012690,20090904,12.2300000,0.009909
012690,20090908,12.3100000,0.006541
012690,20090909,12.3800000,0.005686
012690,20090910,12.4300000,0.004039
012690,20090911,12.4400000,0.000805
012690,20090914,12.5300000,0.007235
012690,20090915,12.5900000,0.004789
012690,20090916,12.7400000,0.011914
012690,20090917,12.7200000,-0.001570
012690,20090918,12.7700000,0.003931
012690,20090921,12.7100000,-0.004699
012690,20090922,12.6500000,0.002234
012690,20090923,12.6800000,0.002372
012690,20090924,12.5700000,-0.008675
012690,20090925,12.4300000,-0.011138
012690,20090928,12.6100000,0.014481
012690,20090929,12.6100000,0.000000
012690,20090930,12.5700000,-0.003172
012690,20091001,12.3400000,-0.018298
012690,20091002,12.2800000,-0.004862
012690,20091005,12.4100000,0.010586
012690,20091006,12.5200000,0.008864
012690,20091007,12.5100000,-0.000799
012690,20091008,12.6000000,0.007194
012690,20091009,12.6600000,0.004762
012690,20091012,12.7096000,0.003918
012690,20091013,12.6848000,-0.001951
012690,20091014,12.8321000,0.011612
012690,20091015,12.9095000,0.006032
012690,20091016,12.8646000,-0.003478
012690,20091019,13.0171000,0.011854
012690,20091020,12.9123000,-0.008051
012690,20091021,12.8321000,-0.006211
012690,20091022,12.9744000,0.011089
012690,20091023,12.8214000,-0.011792
012690,20091026,12.7147000,-0.008322
012690,20091027,12.7060000,-0.000684
012690,20091028,12.5408000,-0.013002
012690,20091029,12.7176000,0.014098
012690,20091030,12.4628000,-0.020035
012690,20091102,12.5106000,0.003835
012690,20091103,12.5345000,0.001910
012690,20091104,12.5568000,0.001779
012690,20091105,12.7845000,0.018134
012690,20091106,12.7828000,-0.000133
012690,20091109,13.0325000,0.019534
012690,20091110,13.0374000,0.000376
012690,20091111,13.0604000,0.001764
012690,20091112,12.9315000,-0.009870
012690,20091113,13.0245000,0.007192
012690,20091116,13.2052000,0.013874
012690,20091117,13.2146000,0.000712
012690,20091118,13.1875000,-0.002051
012690,20091119,13.0151000,-0.013073
012690,20091120,13.0089000,-0.000476
012690,20091123,13.1686000,0.012276
012690,20091124,13.1708000,0.000167
012690,20091125,13.2475000,0.005823
012690,20091127,13.0351000,-0.016033
012690,20091130,13.0727000,0.002885
012690,20091201,13.2499000,0.013555
012690,20091202,13.3018000,0.003917
012690,20091203,13.2232000,-0.005909
012690,20091204,13.2959000,0.005498
012690,20091207,13.3205000,0.001850
012690,20091208,13.2064000,-0.008566
012690,20091209,13.2159000,0.000719
012690,20091210,13.2901000,0.005614
012690,20091211,13.3887000,0.007419
012690,20091214,13.4799000,0.006812
012690,20091215,13.4190000,-0.004518
012690,20091216,13.4337000,0.001095
012690,20091217,13.2934000,-0.010444
012690,20091218,13.3206000,0.002046
012690,20091221,13.4153000,0.007109
012690,20091222,13.3901000,0.004950
012690,20091223,13.4252000,0.002621
012690,20091224,13.5020000,0.005721
012690,20091228,13.5197000,0.001311
012690,20091229,13.5312000,0.000851
012690,20091230,13.5201000,-0.000820
012690,20091231,13.3720000,-0.010954
012690,20100104,13.5007000,0.009625
012690,20100105,13.4522000,-0.003592
012690,20100106,13.4578000,0.000416
012690,20100107,13.4706000,0.000951
012690,20100108,13.5011000,0.002264
012690,20100111,13.5725000,0.005288
012690,20100112,13.5157000,-0.004185
012690,20100113,13.6184000,0.007599
012690,20100114,13.6369000,0.001358
012690,20100115,13.5107000,-0.009254
012690,20100119,13.6628000,0.011258
012690,20100120,13.5236000,-0.010188
012690,20100121,13.3468000,-0.013073
012690,20100122,13.1426000,-0.015300
012690,20100125,13.1992000,0.004307
012690,20100126,13.1853000,-0.001053
012690,20100127,13.2158000,0.002313
012690,20100128,13.1084000,-0.008127
012690,20100129,12.9992000,-0.008331
012690,20100201,13.1218000,0.009431
012690,20100202,13.2782000,0.011919
012690,20100203,13.2081000,-0.005279
012690,20100204,12.9088000,-0.022660
012690,20100205,12.8851000,-0.001836
012690,20100208,12.7857000,-0.007714
012690,20100209,12.9356000,0.011724
012690,20100210,12.9198000,-0.001221
012690,20100211,13.0292000,0.008468
012690,20100212,13.0183000,-0.000837
012690,20100216,13.2246000,0.015847
012690,20100217,13.2788000,0.004098
012690,20100218,13.3796000,0.007591
012690,20100219,13.4392000,0.004455
012690,20100222,13.4101000,-0.002165
012690,20100223,13.2864000,-0.009224
012690,20100224,13.3701000,0.006300
012690,20100225,13.3465000,-0.001765
012690,20100226,13.3308000,-0.001176
012690,20100301,13.4723000,0.010615
012690,20100302,13.5392000,0.004966
012690,20100303,13.5462000,0.000517
012690,20100304,13.5742000,0.002067
012690,20100305,13.7259000,0.011176
012690,20100308,13.7383000,0.000903
012690,20100309,13.7445000,0.000451
012690,20100310,13.7739000,0.002139
012690,20100311,13.8244000,0.003666
012690,20100312,13.8434000,0.001374
012690,20100315,13.8730000,0.002138
012690,20100316,13.9704000,0.007021
012690,20100317,14.0505000,0.005734
012690,20100318,14.0551000,0.000327
012690,20100319,14.0229000,-0.002291
012690,20100322,14.0730000,0.003573
012690,20100323,14.0746000,0.006388
012690,20100324,13.9504000,-0.008824
012690,20100325,13.9043000,-0.003305
012690,20100326,13.9091000,0.000345
012690,20100329,14.0157000,0.007664
012690,20100330,14.0361000,0.001456
012690,20100331,13.9929000,-0.003078
012690,20100401,14.0913000,0.007032
012690,20100405,14.1678000,0.005429
012690,20100406,14.1904000,0.001595
012690,20100407,14.1191000,-0.005025
012690,20100408,14.1047000,-0.001020
012690,20100409,14.2076000,0.007295
012690,20100412,14.2132000,0.000394
012690,20100413,14.2222000,0.000633
012690,20100414,14.3255000,0.007263
012690,20100415,14.3561000,0.002136
012690,20100416,14.2150000,-0.009829
012690,20100419,14.2589000,0.003088
012690,20100420,14.3835000,0.008738
012690,20100421,14.3930000,0.000660
012690,20100422,14.4278000,0.002418
012690,20100423,14.5033000,0.005233
012690,20100426,14.4483000,-0.003792
012690,20100427,14.1776000,-0.018736
012690,20100428,14.2433000,0.004634
012690,20100429,14.3733000,0.009127
012690,20100430,14.2243000,-0.010366
012690,20100503,14.3786000,0.010848
012690,20100504,14.0945000,-0.019759
012690,20100505,14.0082000,-0.006123
012690,20100506,13.6110000,-0.028355
012690,20100507,13.4416000,-0.012446
012690,20100510,13.9433000,0.037324
012690,20100511,13.9373000,-0.000430
012690,20100512,14.0953000,0.011336
012690,20100513,13.9857000,-0.007776
012690,20100514,13.7695000,-0.015459
012690,20100517,13.8276000,0.004219
012690,20100518,13.6955000,-0.009553
012690,20100519,13.6186000,-0.005615
012690,20100520,13.1532000,-0.034174
012690,20100521,13.2659000,0.008568
012690,20100524,13.1257000,-0.010568
012690,20100525,13.0724000,-0.004061
012690,20100526,13.0250000,-0.003626
012690,20100527,13.3872000,0.027808
012690,20100528,13.2755000,-0.008344
012690,20100601,13.0736000,-0.015208
012690,20100602,13.3711000,0.022756
012690,20100603,13.4465000,0.005639
012690,20100604,12.9960000,-0.033503
012690,20100607,12.9015000,-0.007271
012690,20100608,13.0543000,0.011844
012690,20100609,13.0137000,-0.003110
012690,20100610,13.3569000,0.026372
012690,20100611,13.4104000,0.004005
012690,20100614,13.4387000,0.002110
012690,20100615,13.7062000,0.019905
012690,20100616,13.7009000,-0.000387
012690,20100617,13.7443000,0.003168
012690,20100618,13.7439000,-0.000029
012690,20100621,13.6921000,-0.003769
012690,20100622,13.3872000,-0.014680
012690,20100623,13.3054000,-0.006110
012690,20100624,13.1703000,-0.010154
012690,20100625,13.2020000,0.002407
012690,20100628,13.2239000,0.001659
012690,20100629,12.9007000,-0.024441
012690,20100630,12.7983000,-0.007938
012690,20100701,12.7560000,-0.003305
012690,20100702,12.7204000,-0.002791
012690,20100706,12.7987000,0.006155
012690,20100707,13.1335000,0.026159
012690,20100708,13.2608000,0.009693
012690,20100709,13.3386000,0.005867
012690,20100712,13.3097000,-0.002167
012690,20100713,13.4910000,0.013622
012690,20100714,13.4924000,0.000104
012690,20100715,13.5195000,0.002009
012690,20100716,13.2125000,-0.022708
012690,20100719,13.2883000,0.005737
012690,20100720,13.4379000,0.011258
012690,20100721,13.2914000,-0.010902
012690,20100722,13.5462000,0.019170
012690,20100723,13.6724000,0.009316
012690,20100726,13.8214000,0.010898
012690,20100727,13.8572000,0.002590
012690,20100728,13.7516000,-0.007621
012690,20100729,13.6733000,-0.005694
012690,20100730,13.6723000,-0.000073
012690,20100802,13.8996000,0.016625
012690,20100803,13.8485000,-0.003676
012690,20100804,13.9318000,0.006015
012690,20100805,13.8989000,-0.002362
012690,20100806,13.8637000,-0.002533
012690,20100809,13.9484000,0.006109
012690,20100810,13.9032000,-0.003241
012690,20100811,13.5542000,-0.025102
012690,20100812,13.5189000,-0.002604
012690,20100813,13.5035000,-0.001139
012690,20100816,13.5102000,0.000496
012690,20100817,13.6905000,0.013345
012690,20100818,13.6977000,0.000526
012690,20100819,13.4779000,-0.016046
012690,20100820,13.4498000,-0.002085
012690,20100823,13.4234000,-0.001963
012690,20100824,13.3014000,-0.009089
012690,20100825,13.3418000,0.003037
012690,20100826,13.2842000,-0.004317
012690,20100827,13.5087000,0.016900
012690,20100830,13.3228000,-0.013762
012690,20100831,13.3439000,0.001584
012690,20100901,13.6706000,0.024483
012690,20100902,13.7526000,0.005998
012690,20100903,13.8782000,0.009133
012690,20100907,13.7415000,-0.009850
012690,20100908,13.7942000,0.003835
012690,20100909,13.8628000,0.004973
012690,20100910,13.9098000,0.003390
012690,20100913,14.0219000,0.008059
012690,20100914,14.0185000,-0.000242
012690,20100915,14.0609000,0.003025
012690,20100916,14.0401000,-0.001479
012690,20100917,14.0597000,0.001396
012690,20100920,14.2610000,0.014318
012690,20100921,14.1238000,-0.003436
012690,20100922,14.0942000,-0.002096
012690,20100923,13.9646000,-0.009195
012690,20100924,14.2289000,0.018926
012690,20100927,14.1724000,-0.003971
012690,20100928,14.2501000,0.005482
012690,20100929,14.2242000,-0.001818
012690,20100930,14.2093000,-0.001048
012690,20101001,14.2732000,0.004497
012690,20101004,14.1998000,-0.005143
012690,20101005,14.4446000,0.017240
012690,20101006,14.4431000,-0.000104
012690,20101007,14.4221000,-0.001454
012690,20101008,14.4749000,0.003661
012690,20101011,14.4738000,-0.000076
012690,20101012,14.4805000,0.000463
012690,20101013,14.5933000,0.007790
012690,20101014,14.5855000,-0.000534
012690,20101015,14.6020000,0.001131
012690,20101018,14.6861000,0.005759
012690,20101019,14.5002000,-0.012658
012690,20101020,14.6548000,0.010662
012690,20101021,14.6586000,0.000259
012690,20101022,14.6418000,-0.001146
012690,20101025,14.6576000,0.001079
012690,20101026,14.6164000,-0.002811
012690,20101027,14.5413000,-0.005138
012690,20101028,14.5756000,0.002359
012690,20101029,14.5991000,0.001612
012690,20101101,14.5851000,-0.000959
012690,20101102,14.7003000,0.007898
012690,20101103,14.7153000,0.001020
012690,20101104,14.9277000,0.014434
012690,20101105,14.9321000,0.000295
012690,20101108,14.8630000,-0.004628
012690,20101109,14.7646000,-0.006620
012690,20101110,14.7762000,0.000786
012690,20101111,14.7301000,-0.003120
012690,20101112,14.5961000,-0.009097
012690,20101115,14.6315000,0.002425
012690,20101116,14.4130000,-0.014934
012690,20101117,14.4342000,0.001471
012690,20101118,14.6197000,0.012851
012690,20101119,14.6358000,0.001101
012690,20101122,14.6367000,0.000061
012690,20101123,14.4757000,-0.011000
012690,20101124,14.6528000,0.012234
012690,20101126,14.5656000,-0.005951
012690,20101129,14.5251000,-0.002781
012690,20101130,14.4464000,-0.005418
012690,20101201,14.7147000,0.018572
012690,20101202,14.8300000,0.007836
012690,20101203,14.8535000,0.001585
012690,20101206,14.8067000,-0.003151
012690,20101207,14.8315000,0.001675
012690,20101208,14.8565000,0.001686
012690,20101209,14.8883000,0.002140
012690,20101210,14.9725000,0.005655
012690,20101213,15.0017000,0.001950
012690,20101214,15.0751000,0.004893
012690,20101215,15.0205000,-0.003622
012690,20101216,15.1280000,0.007157
012690,20101217,15.1267000,-0.000086
012690,20101220,15.1215000,-0.000344
012690,20101221,15.0449000,0.003174
012690,20101222,15.1096000,0.004300
012690,20101223,15.0913000,-0.001211
