crsp_fundno,caldt,dnav,dret
043528,20090806,36.2377000,-0.005112
043528,20090807,36.5120000,0.007569
043528,20090810,36.3946000,-0.003215
043528,20090811,35.7373000,-0.018060
043528,20090812,36.0410000,0.008498
043528,20090813,36.3048000,0.007319
043528,20090814,35.7256000,-0.015954
043528,20090817,34.1858000,-0.043101
043528,20090818,34.9558000,0.022524
043528,20090819,35.1528000,0.005636
043528,20090820,35.5878000,0.012375
043528,20090821,36.1265000,0.015137
043528,20090824,36.0422000,-0.002333
043528,20090825,35.8208000,-0.006143
043528,20090826,35.8116000,-0.000257
043528,20090827,35.7807000,-0.000863
043528,20090828,35.4751000,-0.008541
043528,20090831,34.5732000,-0.025423
043528,20090901,33.8707000,-0.020319
043528,20090902,34.1849000,0.009276
043528,20090903,34.7926000,0.017777
043528,20090904,35.7722000,0.028155
043528,20090908,36.7343000,0.026895
043528,20090909,36.8130000,0.002142
043528,20090910,37.3992000,0.015924
043528,20090911,37.2759000,-0.003297
043528,20090914,37.4769000,0.005392
043528,20090915,37.8426000,0.009758
043528,20090916,38.8015000,0.025339
043528,20090917,38.4303000,-0.009567
043528,20090918,38.4715000,0.001072
043528,20090921,38.3557000,-0.003010
043528,20090922,39.2262000,0.022695
043528,20090923,38.6600000,-0.014434
043528,20090924,37.8406000,-0.021195
043528,20090925,37.9502000,0.002896
043528,20090928,38.5434000,0.015631
043528,20090929,38.6561000,0.002924
043528,20090930,38.9556000,0.007748
043528,20091001,37.8928000,-0.027282
043528,20091002,38.1833000,0.007666
043528,20091005,39.2402000,0.027680
043528,20091006,39.8291000,0.015008
043528,20091007,39.7643000,-0.001627
043528,20091008,40.5753000,0.020395
043528,20091009,40.6951000,0.002953
043528,20091012,40.8825000,0.004605
043528,20091013,40.9028000,0.000497
043528,20091014,42.4768000,0.038481
043528,20091015,42.4632000,-0.000320
043528,20091016,41.9866000,-0.011224
043528,20091019,42.9117000,0.022033
043528,20091020,41.7759000,-0.026468
043528,20091021,41.9128000,0.003277
043528,20091022,42.2574000,0.008222
043528,20091023,41.9760000,-0.006659
